Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,"Feynman, Richard P.","Jeffrey Robbins, Freeman Dyson","=""""","=""""",0,4.23,Basic Books,Paperback,270,2005,1999,,2018/06/03,,,read,,,,1,0
1491906,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh,"Venkatesh, Sudhir",,"=""1594201501""","=""9781594201509""",4,4.07,Penguin Press,Hardcover,302,2008,2008,,2017/01/09,,,read,,,,1,0
36198034,"Napoleon: Passion, Death and Resurrection 1815-1840",Philip G. Dwyer,"Dwyer, Philip G.",,"=""140889176X""","=""9781408891766""",0,4.00,Bloomsbury Publishing,Hardcover,390,2018,2018,,2018/06/03,to-read,to-read (#255),to-read,,,,0,0
36031228,Chasing New Horizons: Inside the Epic First Mission to Pluto,Alan Stern,"Stern, Alan",David Grinspoon,"=""1250098963""","=""9781250098962""",0,4.36,Picador,Hardcover,320,2018,2018,,2018/05/29,to-read,to-read (#254),to-read,,,,0,0
35230469,Fascism: A Warning,Madeleine K. Albright,"Albright, Madeleine K.",,"=""0062802232""","=""9780062802231""",0,4.25,Harper,ebook,320,2018,2018,,2018/05/29,to-read,to-read (#253),to-read,,,,0,0
18049226,John Dewey and the Future of Community College Education,Clifford P. Harbour,"Harbour, Clifford P.",,"=""1441122753""","=""9781441122759""",0,4.25,Bloomsbury Academic,Paperback,188,2014,2013,,2018/05/24,to-read,to-read (#252),to-read,,,,0,0
10836728,"The Rook (The Checquy Files, #1)",Daniel O'Malley,"O'Malley, Daniel",,"=""0316098795""","=""9780316098793""",0,4.10,"Little, Brown and Company",Hardcover,504,2012,2012,,2018/05/22,to-read,to-read (#251),to-read,,,,0,0
3747598,Light Weight Camping Equipment and How to Make It,Gerry Cunningham,"Cunningham, Gerry",Meg Hansson,"=""0684142627""","=""9780684142623""",0,4.00,Encore Editions,Hardcover,150,1976,1976,,2018/05/19,to-read,to-read (#249),to-read,,,,0,0
13421400,Big Data: Principles and best practices of scalable realtime data systems,Nathan Marz,"Marz, Nathan",James Warren,"=""1617290343""","=""9781617290343""",0,3.84,Manning,Paperback,328,2015,2012,,2018/05/18,to-read,to-read (#248),to-read,,,,0,0
585595,Essential Bushcraft,Ray Mears,"Mears, Ray",,"=""0340829710""","=""9780340829714""",0,4.29,Hodder & Stoughton,"Paperback, Sewn Binding",240,2003,2003,,2018/05/17,to-read,to-read (#247),to-read,,,,0,0
13202085,What the Robin Knows: How Birds Reveal the Secrets of the Natural World,Jon Young,"Young, Jon",,"=""0547451253""","=""9780547451251""",0,4.10,Houghton Mifflin Harcourt,Hardcover,241,2012,2012,,2018/05/17,to-read,to-read (#246),to-read,,,,0,0
36854777,The Invention of Religion: Faith and Covenant in the Book of Exodus,Jan Assmann,"Assmann, Jan",Robert Savage,"=""0691157081""","=""9780691157085""",0,4.27,Princeton University Press,Hardcover,416,2018,2015,,2018/05/15,to-read,to-read (#245),to-read,,,,0,0
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""""","=""""",5,4.01,William Morrow Paperbacks,Paperback,222,1993,1993,,2018/05/12,,,read,,,,1,0
113934,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",Jeff Cox,"=""0884271781""","=""9780884271789""",0,4.08,North River Press,Paperback,384,2004,1984,,2017/10/08,to-read,to-read (#191),to-read,,,"zack kanter, amazon",0,0
22456,"The Origin of Wealth: Evolution, Complexity, and the Radical Remaking of Economics",Eric D. Beinhocker,"Beinhocker, Eric D.",,"=""157851777X""","=""9781578517770""",0,4.27,Harvard Business Review Press,Hardcover,527,2006,2006,,2018/04/02,to-read,to-read (#235),to-read,,,"zack kanter, amazon",0,0
77248,Russia and the West under Lenin and Stalin,George F. Kennan,"Kennan, George F.",,"=""0451624602""","=""9780451624604""",4,4.14,Signet,Mass Market Paperback,384,1962,1960,,2017/12/31,2018,2018 (#10),read,,,,1,0
261651,"The Substance of Style: How the Rise of Aesthetic Value Is Remaking Commerce, Culture, and Consciousness (P.S.)",Virginia Postrel,"Postrel, Virginia",,"=""0060933852""","=""9780060933852""",0,3.49,Harper Perennial,Paperback,272,2004,2003,,2018/05/10,to-read,to-read (#244),to-read,,,"adam wiggins, roshan",0,0
40091146,The new force of atomic energy: its development and use,U.S. Atomic Energy Commission. Savannah River Operations Office.,"Office., U.S. Atomic Energy Commission. Savannah River Operations",,"=""""","=""""",5,5.00,University of Michigan Library,Paperback,76,1961,,,2018/05/09,,,read,,,,2,0
3781877,Studying the Novice Programmer (Interacting with Computers Series),Elliot Soloway,"Soloway, Elliot",,"=""0805800026""","=""9780805800029""",0,5.00,Lawrence Erlbaum,Hardcover,504,1988,1988,,2013/11/19,to-read,to-read (#117),to-read,,,bill gates favorite book,0,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,4.36,Sceptre,Hardcover,342,2018,2018,,2018/05/08,to-read,to-read (#243),to-read,,,,0,0
21407422,As We May Think,Vannevar Bush,"Bush, Vannevar",,"=""""","=""""",5,4.51,,,10,,1945,,2018/04/28,,,read,,,alan kay,1,0
98593,The Universe and Dr. Einstein,Lincoln Barnett,"Barnett, Lincoln",,"=""0486445194""","=""9780486445199""",4,4.26,Dover Publications,Paperback,128,2005,1948,,2018/05/06,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Eisso Post, Joel Martinsen, Bruno Roubicek, Richard Heufkens","=""""","=""""",5,4.42,Tor Books,Hardcover,512,2015,2008,,2018/05/06,,,read,,,,1,0
334214,Mohammed and Charlemagne,Henri Pirenne,"Pirenne, Henri",,"=""0486420116""","=""9780486420110""",0,4.00,Dover Publications,Paperback,304,2001,1937,,2018/04/28,to-read,to-read (#242),to-read,,,,0,0
7237456,Packing for Mars: The Curious Science of Life in the Void,Mary Roach,"Roach, Mary",,"=""0393068471""","=""9780393068474""",0,3.95,W. W. Norton & Company,Hardcover,334,2010,2010,,2018/04/28,to-read,to-read (#241),to-read,,,nathan lawrence,0,0
138807,Coffee with Plato,Donald R. Moor,"Moor, Donald R.",Robert M. Pirsig,"=""1844835081""","=""9781844835089""",0,3.57,Duncan Baird,Hardcover,144,2007,2007,,2018/03/20,,,read,,,,1,0
1964332,The Business Value of Computers: An Executive's Guide,Paul Strassmann,"Strassmann, Paul",,"=""0962041327""","=""9780962041327""",0,4.40,The Infomation Economic Press,Hardcover,522,1990,1990,,2018/04/16,to-read,to-read (#240),to-read,,,,0,0
905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,"Gallwey, W. Timothy","Pete Carroll, Zach Kleiman","=""0679778314""","=""9780679778318""",0,4.18,Random House Trade Paperbacks,Paperback,134,1997,1974,,2018/04/12,to-read,to-read (#239),to-read,,,"courtland, very zen",0,0
